id|split|domain|label|goal|trace
wb-analytics-002-no|test|workbench_analytics|no|Create a bar chart of total visits since September 2|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-01"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-002-yes|test|workbench_analytics|yes|Create a bar chart of total visits since September 2|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-02"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-008-no|test|workbench_analytics|no|Can you make a bar chart of total visits since September 9?|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-01"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-008-yes|test|workbench_analytics|yes|Can you make a bar chart of total visits since September 9?|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-09"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-015-no|train|workbench_analytics|no|please plot the distribution of the average session duration metric on September 11|"Recorded tool actions: analytics.get_average_session_duration(time_min=""2023-09-11"", time_max=""2023-09-11"")"
wb-analytics-015-yes|train|workbench_analytics|yes|please plot the distribution of the average session duration metric on September 11|"Recorded tool actions: analytics.create_plot(plot_type=""histogram"", time_max=""2023-09-11"", time_min=""2023-09-11"", value_to_plot=""session_duration_seconds"")"
wb-analytics-017-no|train|workbench_analytics|no|please plot the distribution of the engaged users metric on November 15|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-11-15"", time_max=""2023-11-15"")"
wb-analytics-017-yes|train|workbench_analytics|yes|please plot the distribution of the engaged users metric on November 15|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-15"", time_max=""2023-11-15"", value_to_plot=""user_engaged"", plot_type=""histogram"")"
wb-analytics-018-no|train|workbench_analytics|no|please plot the distribution of the engaged users metric on November 29|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-11-29"", time_max=""2023-11-29"")"
wb-analytics-018-yes|train|workbench_analytics|yes|please plot the distribution of the engaged users metric on November 29|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-29"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""histogram"")"
wb-analytics-019-no|train|workbench_analytics|no|Plot the distribution of total visits on October 28|"Recorded tool actions: analytics.create_plot(time_min=""2023-10-28"", time_max=""2023-10-28"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-019-yes|train|workbench_analytics|yes|Plot the distribution of total visits on October 28|"Recorded tool actions: analytics.create_plot(time_min=""2023-10-28"", time_max=""2023-10-28"", value_to_plot=""total_visits"", plot_type=""histogram"")"
wb-analytics-020-no|train|workbench_analytics|no|Please plot for me the distribution of engaged users and total visits between November 5 and November 21|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-05"", time_max=""2023-11-21"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-05"", time_max=""2023-11-21"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-020-yes|train|workbench_analytics|yes|Please plot for me the distribution of engaged users and total visits between November 5 and November 21|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-05"", time_max=""2023-11-21"", value_to_plot=""total_visits"", plot_type=""histogram""); analytics.create_plot(time_min=""2023-11-05"", time_max=""2023-11-21"", value_to_plot=""user_engaged"", plot_type=""histogram"")"
wb-analytics-021-no|train|workbench_analytics|no|I need a histogram of total visits and average session duration between September 29 and November 13|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-29"", time_max=""2023-11-13"", value_to_plot=""total_visits"", plot_type=""histogram""); analytics.get_average_session_duration(time_min=""2023-09-29"", time_max=""2023-11-13"")"
wb-analytics-021-yes|train|workbench_analytics|yes|I need a histogram of total visits and average session duration between September 29 and November 13|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-29"", time_max=""2023-11-13"", value_to_plot=""total_visits"", plot_type=""histogram""); analytics.create_plot(time_min=""2023-09-29"", time_max=""2023-11-13"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")"
wb-analytics-022-no|train|workbench_analytics|no|Can you plot the distribution of both total visits and average session duration between October 11 and November 19??|"Recorded tool actions: analytics.create_plot(time_min=""2023-10-11"", time_max=""2023-11-19"", value_to_plot=""total_visits"", plot_type=""bar""); analytics.create_plot(time_min=""2023-10-11"", time_max=""2023-11-19"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-022-yes|train|workbench_analytics|yes|Can you plot the distribution of both total visits and average session duration between October 11 and November 19??|"Recorded tool actions: analytics.create_plot(time_min=""2023-10-11"", time_max=""2023-11-19"", value_to_plot=""total_visits"", plot_type=""histogram""); analytics.create_plot(time_min=""2023-10-11"", time_max=""2023-11-19"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")"
wb-analytics-023-no|train|workbench_analytics|no|Can you plot the distribution of both total visits and average session duration between October 12 and November 6??|"Recorded tool actions: analytics.create_plot(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""total_visits"", plot_type=""line""); analytics.create_plot(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")"
wb-analytics-023-yes|train|workbench_analytics|yes|Can you plot the distribution of both total visits and average session duration between October 12 and November 6??|"Recorded tool actions: analytics.create_plot(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""total_visits"", plot_type=""histogram""); analytics.create_plot(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")"
wb-analytics-024-no|train|workbench_analytics|no|Please plot for me the distribution of engaged users and average session duration between October 14 and November 6|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-10-14"", time_max=""2023-11-06""); analytics.get_average_session_duration(time_min=""2023-10-14"", time_max=""2023-11-06""); analytics.create_plot(time_min=""2023-10-14"", time_max=""2023-11-06"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-10-14"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""line"")"
wb-analytics-024-yes|train|workbench_analytics|yes|Please plot for me the distribution of engaged users and average session duration between October 14 and November 6|"Recorded tool actions: analytics.create_plot(time_min=""2023-10-14"", time_max=""2023-11-06"", value_to_plot=""user_engaged"", plot_type=""histogram""); analytics.create_plot(time_min=""2023-10-14"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")"
wb-analytics-025-no|train|workbench_analytics|no|Please plot for me the distribution of total visits and average session duration between November 15 and November 24|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-15"", time_max=""2023-11-24"", value_to_plot=""total_visits"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-15"", time_max=""2023-11-24"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-025-yes|train|workbench_analytics|yes|Please plot for me the distribution of total visits and average session duration between November 15 and November 24|"Recorded tool actions: analytics.create_plot(value_to_plot=""total_visits"", time_max=""2023-11-24"", time_min=""2023-11-15"", plot_type=""histogram""); analytics.create_plot(plot_type=""histogram"", time_min=""2023-11-15"", value_to_plot=""session_duration_seconds"", time_max=""2023-11-24"")"
wb-analytics-026-no|train|workbench_analytics|no|I need a histogram of average session duration and engaged users between November 3 and November 19|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-03"", time_max=""2023-11-19"", value_to_plot=""session_duration_seconds"", plot_type=""histogram""); analytics.engaged_users_count(time_min=""2023-11-03"", time_max=""2023-11-19"")"
wb-analytics-026-yes|train|workbench_analytics|yes|I need a histogram of average session duration and engaged users between November 3 and November 19|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-03"", time_max=""2023-11-19"", value_to_plot=""session_duration_seconds"", plot_type=""histogram""); analytics.create_plot(time_min=""2023-11-03"", time_max=""2023-11-19"", value_to_plot=""user_engaged"", plot_type=""histogram"")"
wb-analytics-027-no|train|workbench_analytics|no|Please plot for me the distribution of engaged users and total visits between September 3 and November 2|"Recorded tool actions: analytics.create_plot(time_max=""2023-11-02"", time_min=""2023-09-03"", plot_type=""line"", value_to_plot=""user_engaged""); analytics.create_plot(time_max=""2023-11-02"", value_to_plot=""total_visits"", plot_type=""line"", time_min=""2023-09-03"")"
wb-analytics-027-yes|train|workbench_analytics|yes|Please plot for me the distribution of engaged users and total visits between September 3 and November 2|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-03"", time_max=""2023-11-02"", value_to_plot=""user_engaged"", plot_type=""histogram""); analytics.create_plot(time_min=""2023-09-03"", time_max=""2023-11-02"", value_to_plot=""total_visits"", plot_type=""histogram"")"
wb-analytics-028-no|train|workbench_analytics|no|Please plot for me the distribution of total visits and average session duration between November 24 and November 28|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-24"", time_max=""2023-11-28"", value_to_plot=""total_visits"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-24"", time_max=""2023-11-28"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-028-yes|train|workbench_analytics|yes|Please plot for me the distribution of total visits and average session duration between November 24 and November 28|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-24"", time_max=""2023-11-28"", value_to_plot=""total_visits"", plot_type=""histogram""); analytics.create_plot(time_min=""2023-11-24"", time_max=""2023-11-28"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")"
wb-analytics-030-no|train|workbench_analytics|no|was total visits less than 3 at any time since September 13? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-09-13"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-09-13"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-030-yes|train|workbench_analytics|yes|was total visits less than 3 at any time since September 13? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-09-13"", time_max=""2023-11-30"")"
wb-analytics-031-no|train|workbench_analytics|no|Can you make a line chart of engaged users since October 24 if it was less than 11 since at any time October 24?|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-10-24"", time_max=""2023-10-24""); analytics.create_plot(time_min=""2023-10-24"", time_max=""2023-10-24"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-031-yes|train|workbench_analytics|yes|Can you make a line chart of engaged users since October 24 if it was less than 11 since at any time October 24?|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-10-24"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-10-24"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")"
